subject,trial,item,dimension,test_form,shape_set,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
dej3sij27st4s0esqqiekiqu,4,70,2,2,2,1,0.0,1.0,0.9428,0.9430717732225931,0.0015753360807469626,0.26998621298938025,-0.06018961154856406,-11.094843602665733,0.129440809753825,0.21773898849079326
dej3sij27st4s0esqqiekiqu,5,13,3,1,3,0,0.0,1.0,0.4851,0.48482186294220264,0.08516878664565102,0.26998621298938025,-0.8094384530993626,-11.094843602665733,0.03974700775958784,0.21773898849079326
dej3sij27st4s0esqqiekiqu,6,37,3,2,2,1,2.0,0.0,0.559,0.434121748760552,0.10550024073105048,0.26998621298938025,-0.9406624091545126,-11.094843602665733,0.20706348347347958,0.21773898849079326
dej3sij27st4s0esqqiekiqu,7,69,3,1,2,0,3.0,0.0,0.7415,0.25143575366746074,0.19666800842614682,0.26998621298938025,-1.5777253842433971,-11.094843602665733,0.08644644565725423,0.21773898849079326
dej3sij27st4s0esqqiekiqu,8,77,3,2,3,0,2.0,0.0,0.6604,0.3356440524368558,0.14519630272509443,0.26998621298938025,-1.2377383324343487,-11.094843602665733,0.1271157460320259,0.21773898849079326
dej3sij27st4s0esqqiekiqu,9,79,4,2,2,1,0.0,1.0,0.557,0.5647495137121137,0.0634609682391997,0.26998621298938025,-0.6352040399522458,-11.094843602665733,0.03166329824543267,0.21773898849079326
dej3sij27st4s0esqqiekiqu,10,40,4,1,3,1,0.0,1.0,0.6318,0.6243884034826042,0.046516314571263664,0.26998621298938025,-0.5176880658307059,-11.094843602665733,-0.023267440462583146,0.21773898849079326
dej3sij27st4s0esqqiekiqu,11,14,5,1,1,0,0.0,1.0,0.4662,0.4634825724888947,0.09463469351717058,0.26998621298938025,-0.8640999645748586,-11.094843602665733,0.10410118958313973,0.21773898849079326
dej3sij27st4s0esqqiekiqu,12,67,5,2,2,1,0.0,1.0,0.877,0.8779905775012404,0.005930106021620936,0.26998621298938025,-0.13606168899941373,-11.094843602665733,0.04607207224712033,0.21773898849079326
dej3sij27st4s0esqqiekiqu,13,76,5,1,3,0,1.0,0.0,0.3095,0.6912462969143177,0.033247210158542845,0.26998621298938025,-0.4027044234673749,-11.094843602665733,-0.06032470779546928,0.21773898849079326
dej3sij27st4s0esqqiekiqu,14,75,6,2,1,1,3.0,0.0,0.4226,0.573451871685717,0.060214103797371306,0.26998621298938025,-0.6166774506275381,-11.094843602665733,0.11131042616049691,0.21773898849079326
dej3sij27st4s0esqqiekiqu,15,35,8,2,3,0,0.0,1.0,0.369,0.36764652835399825,0.1257857984704915,0.26998621298938025,-1.126687511765228,-11.094843602665733,0.11926105858155954,0.21773898849079326
dej3sij27st4s0esqqiekiqu,16,30,7,1,2,1,0.0,1.0,0.7523,0.7516677898567282,0.02176788619353731,0.26998621298938025,-0.30731601594031766,-11.094843602665733,0.13932498836131457,0.21773898849079326
dh38d9j34jm2cdl5d6ydkkh3,1,39,2,1,2,0,0.0,1.0,0.6166,0.6132998263644124,0.050053293028012036,0.21557879611313516,-0.5392448425639103,-9.41927179908524,0.11897554814620215,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,2,6,2,2,1,1,0.0,1.0,0.9083,0.9069217114414465,0.003245008896368015,0.21557879611313516,-0.10094844254265034,-9.41927179908524,0.15229452242231595,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,3,51,2,2,1,1,0.0,1.0,0.8978,0.8980256238943435,0.004052882933773004,0.21557879611313516,-0.11161624963002481,-9.41927179908524,0.13085042927950868,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,4,65,2,1,1,0,0.0,1.0,0.8318,0.824998044513015,0.010822269657669649,0.21557879611313516,-0.2032268064139977,-9.41927179908524,0.1225784461666902,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,5,18,3,2,1,1,2.0,0.0,0.6469,0.3541021847701025,0.13387385963093892,0.21557879611313516,-1.172924240405818,-9.41927179908524,0.15973711862991224,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,6,27,3,1,2,0,0.0,1.0,0.6111,0.5988566483004197,0.05319710480439394,0.21557879611313516,-0.5662253046002377,-9.41927179908524,0.046026991050537654,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,7,58,3,2,2,1,0.0,1.0,0.9059,0.9075687914859427,0.003472490252983345,0.21557879611313516,-0.10046465957940498,-9.41927179908524,0.14420774955858434,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,8,12,4,1,2,0,1.0,0.0,0.3362,0.658287542252132,0.038917420415791916,0.21557879611313516,-0.4572893926251229,-9.41927179908524,0.2079869490757404,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,9,40,4,2,2,1,0.0,1.0,0.7107,0.7141052486279326,0.02706586137692342,0.21557879611313516,-0.36391335028684857,-9.41927179908524,0.09526990906465081,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,10,60,4,1,2,0,0.0,1.0,0.4454,0.44479218912861707,0.09780068439479034,0.21557879611313516,-0.9083323951497828,-9.41927179908524,0.09521009697304722,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,11,26,5,2,3,1,3.0,0.0,0.4629,0.5396283859083837,0.06763203652201857,0.21557879611313516,-0.6849533751122276,-9.41927179908524,0.15144230267264808,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,12,74,5,1,1,0,3.0,0.0,0.4903,0.5146411199465709,0.07435966904522417,0.21557879611313516,-0.7391101992587696,-9.41927179908524,0.1492497266397571,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,13,44,6,2,3,1,0.0,1.0,0.2872,0.2946438506646192,0.15728889286954056,0.21557879611313516,-1.3796683946478954,-9.41927179908524,0.09306372731666335,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,14,55,6,1,3,0,3.0,0.0,0.4875,0.5266508116251751,0.07274804011910645,0.21557879611313516,-0.7143824964813703,-9.41927179908524,0.035922514938556055,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,15,35,8,1,1,0,1.0,0.0,0.605,0.3982802499141277,0.11471551276789953,0.21557879611313516,-1.0360732018584162,-9.41927179908524,0.2139453414328225,0.22706420699389201
dh38d9j34jm2cdl5d6ydkkh3,16,29,7,2,3,1,0.0,1.0,0.7469,0.7447456840489213,0.022427752683339613,0.21557879611313516,-0.31721906042816705,-9.41927179908524,0.06587274073842947,0.22706420699389201
dhffz3cr33669oj3ji6zlf0v,1,39,2,1,2,0,0.0,1.0,0.851,0.850036160715027,0.010449885804289715,0.22834361628973324,-0.17296226450371677,-5.221756345582044,0.13029022508336252,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,2,20,2,2,3,0,0.0,1.0,0.9323,0.9333934837942423,0.0022002255375987607,0.22834361628973324,-0.071131235692242,-5.221756345582044,0.16398632816958264,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,3,49,2,2,2,1,0.0,1.0,0.9817,0.9829777633708553,0.00016957983167451492,0.22834361628973324,-0.017338380864861946,-5.221756345582044,0.08416809806105628,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,4,10,3,1,3,1,0.0,1.0,0.9409,0.9447252890853378,0.0015748946255382565,0.22834361628973324,-0.05843764175348021,-5.221756345582044,0.2312110377186351,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,5,27,3,1,2,0,0.0,1.0,0.8423,0.842412480439681,0.011459568724372664,0.22834361628973324,-0.1829998598668734,-5.221756345582044,0.2317602791294916,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,6,13,3,2,2,0,0.0,1.0,0.8701,0.8698236362802781,0.007553972393221393,0.22834361628973324,-0.14703937138636292,-5.221756345582044,0.15183867383308047,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,7,56,3,2,3,1,0.0,1.0,0.8744,0.8787054274814984,0.006995108051703659,0.22834361628973324,-0.13632330939371506,-5.221756345582044,0.2164280298798838,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,8,12,4,1,2,0,0.0,1.0,0.6483,0.6499776319306181,0.05452793611125293,0.22834361628973324,-0.48579295473321515,-5.221756345582044,0.15995593809323871,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,9,53,4,2,3,1,0.0,1.0,0.875,0.8745791802348233,0.00762966526879637,0.22834361628973324,-0.14167481271694804,-5.221756345582044,0.21211954985053333,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,10,60,4,1,2,1,0.0,1.0,0.8814,0.8828708002533069,0.006717979750383462,0.22834361628973324,-0.1313163765848504,-5.221756345582044,0.24509077687239683,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,11,14,5,2,3,1,0.0,1.0,0.8037,0.8028451304992344,0.017429649652785654,0.22834361628973324,-0.237104668182484,-5.221756345582044,0.21882931661285682,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,12,63,5,1,2,0,0.0,1.0,0.5134,0.5106409923771627,0.10455470190968563,0.22834361628973324,-0.7774614988716202,-5.221756345582044,0.14314398658005256,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,13,55,6,1,3,1,0.0,1.0,0.9166,0.9180988492512426,0.0032324923809880176,0.22834361628973324,-0.08868877326039026,-5.221756345582044,0.16062021814685218,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,14,36,6,2,1,0,0.0,1.0,0.7996,0.7975802359073189,0.018523954467599166,0.22834361628973324,-0.2448174805009966,-5.221756345582044,0.1577838484242205,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,15,45,7,1,2,1,0.0,1.0,0.9378,0.9370605883928623,0.0019797111390251225,0.22834361628973324,-0.06699116231770219,-5.221756345582044,0.2697148588375201,0.278248778105905
dhffz3cr33669oj3ji6zlf0v,16,30,7,2,1,0,2.0,0.0,0.8908,0.10784854227424504,0.3564304296604887,0.22834361628973324,-2.5870045502484125,-5.221756345582044,0.2952593143806766,0.278248778105905
djsudld1djjiw7wlak6ceg0u,1,19,2,1,3,0,0.0,1.0,0.8442,0.8355202819164735,0.0147929371297064,0.33656539472907376,-0.19458851077254735,-1.6481955319123305,0.1883741007016867,0.2000434651031302
djsudld1djjiw7wlak6ceg0u,2,28,2,2,2,1,0.0,1.0,0.9598,0.9603428412234871,0.0009127820778295625,0.33656539472907376,-0.041378240727819815,-1.6481955319123305,0.09154053141253701,0.2000434651031302
