subject,age,gender,block,trial,testform,item,dimension,distractor,puzzle,accuracy,rt
686995,26,Female,2,40,2,52,5,paired,52_flower_single__12121202111010011122_shape_set_20_T.jpeg,0,0.432
686995,26,Female,2,41,2,30,7,minimal,30_grid_double__10211001101112200100121012020000_shape_set_17_T.jpeg,0,1.816
686995,26,Female,2,42,2,17,4,paired,17_double__1222110111201012_shape_set_4_T.jpeg,0,3.868
686995,26,Female,2,43,2,59,5,paired,59_flower_single__11211110102010011122_shape_set_4_T.jpeg,0,0.559
686995,26,Female,2,44,2,33,1,minimal,33_single__000010221212_shape_set_17_T.jpeg,0,0.657
686995,26,Female,2,45,2,72,4,minimal,72_double__1022111010121202_shape_set_17_T.jpeg,0,0.612
686995,26,Female,2,46,2,21,7,paired,21_triple__100111201112121010221202_shape_set_17_T.jpeg,0,2.294
686995,26,Female,2,47,2,23,4,paired,23_grid_single__1110120212111121_shape_set_4_T.jpeg,0,1.278
686995,26,Female,2,48,2,24,7,minimal,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_17_T.jpeg,1,0.755
686995,26,Female,2,49,2,25,2,minimal,25_clockwork3_single__112110110000_shape_set_20_T.jpeg,1,4.325
686995,26,Female,2,50,2,26,5,paired,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_4_T.jpeg,0,5.6530000000000005
686995,26,Female,2,51,2,11,3,paired,11_grid_single__1220111101001121_shape_set_4_T.jpeg,1,20.365
686995,26,Female,2,52,2,31,3,minimal,31_flower_double__0200010011120100020012110000000002001102_shape_set_20_T.jpeg,0,1.063
686995,26,Female,2,53,2,32,1,minimal,32_flower_single__11110100010002000000_shape_set_4_T.jpeg,0,0.843
686995,26,Female,2,54,2,56,3,minimal,56_grid_single__1001101200001122_shape_set_4_T.jpeg,0,0.7000000000000001
686995,26,Female,2,55,2,57,1,minimal,57_single__020011011121_shape_set_17_T.jpeg,0,0.488
686995,26,Female,2,56,2,4,1,minimal,4_flower_single__02001220000001000200_shape_set_20_T.jpeg,1,2.955
686995,26,Female,2,57,2,46,6,paired,46_triple__101112200200110212211001_shape_set_20_T.jpeg,0,0.767
686995,26,Female,2,58,2,47,2,minimal,47_flower_double__0100101200000200101102000000010001000100_shape_set_4_T.jpeg,0,0.471
686995,26,Female,2,59,2,54,6,paired,54_grid_double__01001121120112110100100212100100_shape_set_17_T.jpeg,0,3.697
686995,26,Female,2,60,2,79,4,minimal,79_flower_double__0100000001001112000011011110000010220200_shape_set_20_T.jpeg,0,0.672
686995,26,Female,2,61,2,67,5,paired,67_grid_double__12220000102110020000010012010100_shape_set_20_T.jpeg,0,0.459
686995,26,Female,2,62,2,55,6,paired,55_grid_double__12021120101202001210000012110100_shape_set_20_T.jpeg,0,0.771
686995,26,Female,2,63,2,70,2,paired,70_grid_single__0000010012111110_shape_set_20_T.jpeg,0,0.66
