k1,k2,obs,pred,pval
36,18,0.020429,0.010702,0.0625
36,19,0.003078,0.010187,0.1278
36,20,0.000368,0.011983,0.1413
36,21,0.019037,0.014026,0.0824
36,22,-0.020847,0.010713,0.1876
36,23,0.013468,0.007257,0.0761
36,24,0.02014,0.010374,0.0601
36,25,0.035503,0.009193,0.0176
36,26,0.009248,0.004944,0.0847
36,27,0.006413,0.009803,0.1133
36,28,-0.013957,0.010152,0.1727
36,29,-0.01933,0.011597,0.1896
36,30,0.001373,0.00869,0.1357
36,31,0.004702,0.01325,0.1302
36,32,0.015023,0.008823,0.0733
36,33,0.007219,0.00822,0.1059
37,0,-0.011214,0.009259,0.168
37,1,0.021245,0.010363,0.0572
37,2,-0.014543,0.011458,0.1738
37,3,0.031279,0.012204,0.0364
37,4,0.023274,0.012035,0.0595
37,6,0.042021,0.012473,0.0127
37,7,0.033469,0.010703,0.0274
37,8,0.051764,0.012574,0.0075
37,9,0.029241,0.01109,0.0367
37,10,0.020379,0.01109,0.0611
37,11,-0.032607,0.010871,0.1979
37,12,0.032413,0.015712,0.043
37,13,-0.031955,0.009711,0.1972
37,14,0.012091,0.009349,0.0872
37,15,0.012672,0.013691,0.1028
37,16,-0.004376,0.008856,0.154
37,18,0.016307,0.012132,0.0837
37,19,0.002773,0.010286,0.1282
37,20,0.001303,0.013964,0.144
37,21,-0.001176,0.013466,0.1531
37,22,-0.002519,0.010222,0.1479
37,23,0.020711,0.010105,0.0627
37,24,-0.021519,0.014644,0.195
37,25,0.005188,0.012872,0.1268
37,26,0.018897,0.009332,0.0665
37,27,-0.001342,0.009819,0.1372
37,28,-0.006906,0.010569,0.1591
37,29,-0.006952,0.013176,0.1644
37,30,0.031493,0.01308,0.0381
37,31,0.048133,0.01374,0.009
37,32,0.010577,0.013692,0.1087
37,33,-0.030072,0.011141,0.1923
37,34,0.042062,0.006833,0.0031
37,35,-0.006766,0.010128,0.1589
37,36,0.042456,0.009125,0.0058
38,0,0.011632,0.010618,0.0973
38,1,0.003356,0.009422,0.1233
38,2,0.033038,0.011506,0.0347
38,3,0.002386,0.010942,0.1305
38,4,0.001648,0.011997,0.1376
38,5,0.04702,0.01042,0.0112
38,6,0.005924,0.012732,0.1268
38,7,0.026267,0.010269,0.0456
38,8,0.029128,0.012254,0.0437
38,9,-0.014489,0.011,0.1727
38,10,0.01199,0.009914,0.0927
38,11,0.023431,0.010864,0.0537
38,12,0.071499,0.013752,0.001
38,13,0.002978,0.010301,0.1302
38,15,0.065704,0.012853,0.0032
38,16,-0.000712,0.008731,0.137
38,17,-0.005017,0.009165,0.1406
38,18,0.014318,0.01157,0.0906
38,19,0.019694,0.010579,0.0683
38,20,0.04494,0.014387,0.0184
38,21,-0.031336,0.01364,0.1966
38,22,0.007137,0.010177,0.1095
38,23,0.027892,0.010261,0.0437
38,24,0.005121,0.013512,0.1289
38,25,0.001247,0.012346,0.1387
38,26,0.035299,0.009679,0.027
38,27,0.004611,0.01092,0.1232
38,30,0.032296,0.012551,0.04
38,31,-0.007842,0.014118,0.1647
38,32,0.013059,0.011618,0.0946
38,33,0.035656,0.009803,0.0275
38,34,0.043838,0.006224,0.002
38,35,-0.004511,0.01079,0.1554
38,36,0.021044,0.009765,0.0619
38,37,0.068053,0.011873,0.0009
39,0,-0.001763,0.008283,0.141
39,1,0.03955,0.00767,0.0081
39,2,-0.014363,0.01099,0.1726
39,3,-0.013606,0.012361,0.1695
39,4,-0.003852,0.010448,0.1478
39,5,-0.040693,0.010775,0.1988
39,6,0.029207,0.011794,0.04
39,7,-0.013452,0.008115,0.1775
39,8,0.011247,0.012094,0.1043
39,9,0.047144,0.010349,0.0078
39,10,-0.006993,0.010085,0.1558
39,11,-0.001925,0.007937,0.142
39,12,0.041496,0.0136,0.0238
39,13,-0.020644,0.009981,0.1877
39,14,-0.007194,0.009097,0.1641
39,15,0.029165,0.012093,0.0399
39,16,-0.008773,0.007144,0.1676
39,17,0.02738,0.009893,0.0487
39,18,0.006901,0.010968,0.1161
39,19,0.008618,0.008623,0.0989
39,20,0.008015,0.013007,0.1203
39,21,0.028826,0.011988,0.0458
39,22,0.025008,0.008671,0.0449
39,23,0.017665,0.011635,0.0806
39,24,0.033214,0.014178,0.0364
39,25,0.032783,0.012543,0.0326
39,26,0.041157,0.011132,0.0197
39,27,0.008411,0.010565,0.1065
39,28,0.024038,0.009551,0.0526
39,29,0.000935,0.012779,0.143
39,30,0.015852,0.012058,0.0849
